"","gname","times"
"1485","Jamiat ul-Mujahedin (JuM)",12
"1486","Jammu and Kashmir Islamic Front",4
"1487","Jammu and Kashmir Liberation Front",55
"1488","Janatantrik Terai Madhesh Mukti Morcha (JTMMM)",8
"1489","Janatantrik Terai Madhes Mukti Party- Bhagat Singh (JTMMP)",1
"1490","Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)",3
"1491","Janatantrik Terai Mukti Morcha- Goit (JTMM-G)",27
"1492","Janatantrik Terai Mukti Morcha (JTMM)",29
"1493","Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)",78
"1494","Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)",2
"1495","Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)",14
"1496","Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS)",1
"1497","Janjaweed",171
"1498","January 22",2
"1499","Japanese Independence Patriotic Party",1
"1500","Japanese Red Army (JRA)",9
"1501","Japan National Youth Alliance",1
"1502","Japan Socialist Youth League of the Revolutionary Workers' Association",1
"1503","Jarnail Khalsa",1
"1504","Jarrai",2
"1505","Jatav Caste",1
"1506","Javier Heraud Revolutionary Commando",1
"1507","Jaysh al-Islam (Syria)",10
"1508","Jemaah Islamiya (JI)",75
"1509","Jenin Martyrs Brigades",1
"1510","Jerusalem Groups Hebrew (Qvutzot Yerushalayim)",1
"1511","Jewish Armed Resistance",19
"1512","Jewish Combat Organization",1
"1513","Jewish Committee of Concern",3
"1514","Jewish Defenders",1
"1515","Jewish Defense League (JDL)",82
"1516","Jewish Defense Organization",1
"1517","Jewish Direct Action",1
"1518","Jewish Extremists",30
"1519","Jewish Fighting Organization (Eyal)",1
"1520","Jewish Terror",10
"1521","Jharkhand Bachao Aandolan",1
"1522","Jharkhand Janmukti Parishad (JJP)",2
"1523","Jharkhand Liberation Tigers (JLT)",6
"1524","Jharkhand Prastuti Committee (JPC)",1
"1525","Jharkhand Sangharsh Jan Mukti Morcha",1
"1526","Jharkhand Tribal Forces",2
"1527","Jihad Brigades",1
"1528","Jihadi Movement of the Sunna People of Iran",1
"1529","Jihad Islamic League Front",1
"1530","Jihadist Soldiers",1
"1531","Joint Meeting Parties (JMP)",1
"1532","Joint Palestinian leftist organization",1
"1533","Jonathan Jackson Brigade",1
"1534","Jordanian Islamic Resistance",2
"1535","Jordanian Masses Organization",1
"1536","Jordanian National Liberation Movement",1
"1537","Jordanian Revolutionary and Military Committee (MOUAB)",2
"1538","Jorge Eliecer Gaitan Nationalist Movement",2
"1539","Jorge Martinez Association of Combatants",1
"1540","Jose Benito Escobar Workers Federation",1
"1541","Juan Antonio Lavalleja Command",1
"1542","Juan Rayo Guerilla Group",1
"1543","Juarez Cartel (Carrillo-Fuentes / Mexico)",1
"1544","July 14 Movement",1
"1545","Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations)",1
"1546","Junaid Jihadist Battalion",1
"1547","Jund al-Islam",1
"1548","Jund al-Khilafa",1
"1549","Jund al-Khilafah (Tunisia)",5
"1550","Jundallah",32
"1551","Jund al-Sahabah Group",1
"1552","Jund al-Sham for Tawhid and Jihad",9
"1553","Jund Al-Tawid",1
"1554","Jund Ansar Allah",1
"1555","June 16 Organization",1
"1556","Justice and Equality Movement (JEM)",18
"1557","Justice and Liberty Warriors",1
"1558","Justice Army for Defenseless Peoples",1
"1559","Justice Commandos for the Armenian Genocide",46
"1560","Justice Guerrillas",1
"1561","Justice Party",1
"1562","Just Punishment Brigades",1
"1563","Kabataang Makabayan (KM)",1
"1564","Kabul Government Agents",1
"1565","Kach",12
"1566","Kachin Independence Army (KIA)",26
"1567","Kachin Insurgents",2
"1568","Kahane Chai",2
"1569","Kaingang Indians",1
"1570","Kaitseliit Paramiltary Group",1
"1571","Kaka-Tribesmen",2
"1572","Kalpar Tribesmen",2
"1573","Kamajor Hunters",2
"1574","Kamal Boulander Group",1
"1575","Kamal Udwan Unit of Palestinians",1
"1576","Kampuchean Peoples National Liberation Army",1
"1577","Kamtapur Liberation Organization (KLO)",14
"1578","Kanakas",2
"1579","Kanak Separatists",4
"1580","Kanak Socialist National Liberation Front",5
"1581","Kangleipak Communist Party (KCP)",34
"1582","Kanglei Yawol Kanna Lup (KYKL)",9
"1583","Karabulak Gang",1
"1584","Kara clan",1
"1585","Karamojong Warriors",3
"1586","Karamyit Singh",1
"1587","Karbi Longri National Liberation Front (KLNLF)",2
"1588","Karbi Longri North Cachar Liberation Front (KLNLF)",15
"1589","Karbi National Volunteers (KNV)",3
"1590","Karbi People's Liberation Tigers (KPLT)",19
"1591","Karbi Tribe",1
"1592","Karen Insurgents",21
"1593","Karen National Union",88
"1594","Karenni National Progressive Party",3
"1595","Karnataka State Farmers Association",1
"1596","Kashmir Freedom Force",1
"1597","Kashmiri Hezbollah",3
"1598","Kashmiri Militants",76
"1599","Kata'ib al-Khoul",2
"1600","Katap Ethic Group",1
"1601","Katsina Muslim Society",1
"1602","Katsuhisa Omori",2
"1603","Kawal ng Pilipinas (Soldier of the Philippines)",1
"1604","Kentavros",1
"1605","Kenya African National Union (KANU)",5
"1606","Kenyan rebels from Uganda",1
"1607","Keshet",7
"1608","Khalid ibn Walid",1
"1609","Khalid ibn Walid Brigade",1
"1610","Khalistan Commando Force",20
"1611","Khalistan Liberation Force",15
"1612","Khalistan Zindabad (Long Live Khalistan)",2
"1613","Kharkiv Partisans",5
"1614","Khasi Students Union",4
"1615","Khmer Bandits",2
"1616","Khmer Rouge",160
"1617","Khmer Serei Guerrillas",1
"1618","Khomeynites",1
"1619","Khorasan Chapter of the Islamic State",78
"1620","Khorasan jihadi group",2
"1621","Khristos Kasimis",5
"1622","Khumbuwan Mukti Morcha",2
"1623","Khun Sa Guerrillas",5
"1624","Kidnapping gang",1
"1625","Kilafah Islamic Movement",3
"1626","Kim Pyongnil Supporters",1
"1627","King Street",1
"1628","Kirat Janabadi Workers Party",5
"1629","Kisan Indian Organization",7
"1630","Kisar Liberation Movement",1
"1631","Kisii Activists",1
"1632","Knights of Janzour",1
"1633","Knights Templar (Caballeros Templarios)",1
"1634","Koetoh Reh",1
"1635","Kokang",1
"1636","Kolla Benjo Cruz Command",2
"1637","Komando Jihad (Indonesian)",1
"1638","Koreans",2
"1639","Korean Youth League",1
"1640","Korea Univ. Students",1
"1641","Korubo Tribe",1
"1642","Kosovo Liberation Army (KLA)",57
"1643","Kotoko Tribal Group",2
"1644","Kouweikhat Group",1
"1645","Krause Group",2
"1646","Krikapi Indians",1
"1647","Kuki Liberation Army (KLA)",4
"1648","Kuki National Army (KNA)",3
"1649","Kuki National Front (KNF)",9
"1650","Kuki National Liberation Front (KNLF)",3
"1651","Kuki Revolutionary Army (KRA)",8
"1652","Kuki Tribal Militants",5
"1653","Kuki tribesmen",6
"1654","Ku Klux Klan",22
"1655","Kuna Indians",7
"1656","Kurdish Democratic Party-Iran (KDP)",4
"1657","Kurdish Democratic Party-Iraq (KDP)",9
"1658","Kurdish demonstrators",1
"1659","Kurdish Dissidents",10
"1660","Kurdish guerrillas",3
"1661","Kurdish Independence Group (name unk)",1
"1662","Kurdish Islamic Unity Party",1
"1663","Kurdish Marxist Separatists",1
"1664","Kurdish Militants",17
"1665","Kurdish Oppositionists",1
"1666","Kurdish Peshmerga Guerrillas",1
"1667","Kurdish Protestors",2
"1668","Kurdish Rebels",7
"1669","Kurdish Separatists",10
"1670","Kurdish Sympathizers",5
"1671","Kurdistan Freedom Hawks (TAK)",16
"1672","Kurdistan Free Life Party",11
"1673","Kurdistan National Union",2
"1674","Kurdistan Workers' Party (PKK)",1782
"1675","Kurds",17
"1676","Kyongbuk University Dental College Students",1
"1677","Labor Union Leaders",1
"1678","Lahij Province of the Islamic State",2
"1679","Laiq Chanio Group of Dacoit Bandits",1
"1680","Lama Group",1
"1681","Landless Peasants' Movement (MST)",7
"1682","La Paz peasants federation",1
"1683","large group",1
"1684","Lashkar-e-Balochistan",21
"1685","Lashkar-e-Islam (India)",13
"1686","Lashkar-e-Islam (Pakistan)",112
"1687","Lashkar-e-Jhangvi",100
"1688","Lashkar-e-Omar",2
"1689","Lashkar-e-Taiba (LeT)",142
"1690","Lashkari-e-Adam (Army of Adam)",1
"1691","Laskar Jihad",7
"1692","Last Alternative Guerrilla Front",1
"1693","Last Generation",1
"1694","Latin America Anti-Communist Army (LAACA)",4
"1695","Latin American Anti-Fascist Command",3
"1696","Latvian Republic Volunteer Troops",1
"1697","Lavalas Supporters",1
"1698","League of Communists",2
"1699","League of French Fighters Against Jewish Occupation",1
"1700","League of the 18",1
"1701","Lebanese and Palestinian Resistance Fighters",1
"1702","Lebanese Arab Army",1
"1703","Lebanese Armed Revolutionary Faction (LARF)",8
"1704","Lebanese Free Will Movement",1
"1705","Lebanese Liberation Front",7
"1706","Lebanese male",1
"1707","Lebanese Man",1
"1708","Lebanese National Resistance Front",26
"1709","Lebanese Resistance Group",1
"1710","Lebanese Secret Army",1
"1711","Lebanese Socialist Revolutionary Organization",4
"1712","Lebanese Terrorist Group",1
"1713","leftist guerrillas-Bolivarian militia",1
"1714","Leftist youths",1
"1715","Left wing activists",4
"1716","Left-Wing Demonstrators",6
"1717","Left-Wing Extremists",14
"1718","Left-Wing Guerrillas",127
"1719","Left-Wing Militants",173
"1720","Left wing student group",1
"1721","Left-Wing Terrorists",50
"1722","Left-Wing Workers",3
"1723","Lehava",1
"1724","Lekagak Tenggamati",1
"1725","Lesotho Liberation Army (LLA)",12
"1726","Libardo Moratoro Front",1
"1727","Liberals of Galilee",1
"1728","Liberation and Justice Movement (LJM)",11
"1729","Liberation Army for Presevo, Medvedja and Bujanovac (UCPMB)",3
"1730","Liberation Battalion",1
"1731","Liberation Commando Rudolf Hess",1
"1732","Liberation Front of Southern Sudan",1
"1733","Liberation Front of the Senegalese People",1
"1734","Liberation Hawks",1
"1735","Liberation Tigers of Tamil Eelam (LTTE)",1606
"1736","Liberation War Veterans Association",1
"1737","Liberation Youth Coordinating Board",1
"1738","Liberian Rebel Group",1
"1739","Liberians United for Reconciliation and Democracy (LURD)",6
"1740","Liberia Peace Council",1
"1741","Libyan",3
"1742","Libyan Militia",2
"1743","Libyan Students",2
"1744","Libyan Students (Sponsored by Qadaffi Regime)",1
"1745","Libya Revolutionaries Operations Room (LROR)",7
"1746","Libya Shield Force",8
"1747","Liga Agraria Campesina",1
"1748","Likud Political Party",3
"1749","Lithuanian Land Guard",1
"1750","Liwa Ahrar al-Sunna",15
"1751","Liwa al-Haqq",1
"1752","Liwa al-Islam",1
"1753","Liwa al-Sham",1
"1754","Local Extremist",1
"1755","Local landlord employee",1
"1756","Local Residents",1
"1757","Lolita Lebron Puerto Rican Liberation Command",1
"1758","Long-time Muslim immigrants from Bangladesh",5
"1759","Lord's Resistance Army (LRA)",279
"1760","Lorenzo Zelaya Revolutionary Front (LZRF)",40
"1761","Los Barriales",1
"1762","Los Rastrojos (Colombia)",1
"1763","Loyalist Action Force",1
"1764","Loyalists",16
"1765","Loyalist Volunteer Forces (LVF)",26
"1766","Lufa Tribesmen",1
"1767","Luhansk People's Republic",206
"1768","Luis Boitel Commandos",9
"1769","LW",1
"1770","Lybyan-Backed Group against opponents of Qadaffi",1
"1771","M12J",1
"1772","M-19 (Movement of April 19)",554
"1773","M-19 Splinter",1
"1774","M23",8
"1775","M-5",2
"1776","M-7",2
"1777","Maasai",1
"1778","Mabanese Defence Forces",3
"1779","Maccabee Squad and the Shield of David",2
"1780","Macedonian nationalists",1
"1781","Macetos (Paramilitary Group)",1
"1782","Macheteros",37
"1783","Macina Liberation Front (FLM)",9
"1784","Madhesh Mukti Sangram (MMS)",1
"1785","Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal",5
"1786","Madhesi Mukti Tigers (MMT)",9
"1787","Madhesi People’s Rights Forum (MPRF)",3
"1788","Madhesi Virus Killers",1
"1789","Mafia",9
"1790","Magahat Militia",2
"1791","Mahan Madhesh Janakantri Party (MMJP)- Nepal",4
"1792","Mahaz-e-Inquilab",3
"1793","Mahaz-e-Milli Islami Afghanistan",1
"1794","Mahaz Fedai Tahrik Islami Afghanistan",5
"1795","Mahdaviyat",1
"1796","Mahdi Army",18
"1797","Mahidi",1
"1798","Mahir Cayan Suicide Group",1
"1799","Mahsud Tribe",1
"1800","Mai Mai Bakata Katanga Militia",10
"1801","Mai Mai Simba Militia",7
"1802","Majerten clansmen",1
"1803","Majlis-e-Askari",1
"1804","Major Muhammad Zuhnyn Group",1
"1805","Makhachkala Gang",4
"1806","Malaysian Communist Party",2
"1807","Mali students",1
"1808","Malitia-Pro Govt",1
"1809","Manatari Brotherhood",1
"1810","Mandela Soccer Club",1
"1811","Manipur Naga People's Army (MNPA)",4
"1812","Manipur Nationalist Revolutionary Party (MNRP)",1
"1813","Mano Blanca",5
"1814","MANO-D",1
"1815","Manuel Ascencio Padilla Group",1
"1816","Manuel Gonzales Patriotic Front",2
"1817","Manuel Jose Arce Commando",6
"1818","Manuel Rodriguez Patriotic Front (FPMR)",830
"1819","Maoist Communist Center (MCC)",35
"1820","Maoist Communist Party (MKP)",1
"1821","Maoist Communist Party of Manipur",1
"1822","Maoist Farm Laborers Struggle Committee (MXSS)",1
"1823","Maoists",1141
"1824","Maori",1
"1825","Mapuche activists",6
"1826","Marhan Clan",1
"1827","Mariano Moreno National Liberation Commando",3
"1828","Martyr Abu Ja'far Group",2
"1829","Martyr Ahmad Alishuay B Group",1
"1830","Martyr Ali Nasir group",1
"1831","Martyr Riyad Taha Group",1
"1832","Martyr Sami al-Ghul Brigades",1
"1833","Martyrs Halim Group",1
"1834","Martyrs of Baalbek",1
"1835","Martyrs of La Talanguera",2
"1836","Martyrs of Saad Sayel",1
"1837","Martyrs of Tell Al-Zaltar",1
"1838","Martyrs revenge organization",1
"1839","Maruseido (Marxist Youth League)",2
"1840","Marwan Al-Qawasimi and Amir Abu-Ayshah Group",1
"1841","Marxist-Leninist Armed Propaganda Unit",6
"1842","Marxist Peoples Fedayeen of Iran",1
"1843","Marxist Resistance Movement",1
"1844","Marxists",15
"1845","Masada, Action and Defense Movement",1
"1846","Maskini Liberation Front",3
"1847","Massive escape",1
"1848","Matan Abdulle",1
"1849","Mateo Morral Insurrectionist Commandos",2
"1850","Mawlawi and Mansour Group",1
"1851","Maximiliano Gomez Revolutionary Brigade",14
"1852","Maximiliano Hernandez Martinez Brigade",7
"1853","May 15",1
"1854","May 15 Organization for the Liberation of Palestine",9
"1855","May 19 Communist Order",20
"1856","May 36",1
"1857","May 98",2
"1858","Mayi Mayi",32
"1859","Mazari Tribesmen",1
"1860","Mazdoor Kisan Sangram Samiti (MKSS)",1
"1861","Medellin Drug Cartel",3
"1862","Medfaiyah Wal-Sewarigh Brigade",1
"1863","Meibion Glyndwr",31
"1864","Meinhof-Puig-Antich Group",5
"1865","Meitei extremists",1
"1866","Mercenaries",2
"1867","Merille Militia",4
"1868","Mesopotamian Army (MEZOR)",1
"1869","Mexican Revolutionary Movement",1
"1870","Mexican Students",1
"1871","Miguel Angel Cabrera Command",1
"1872","Miguel d'Escoto Brockman Community Movement",1
"1873","Mikhail Kaltezas Anarchist Organization",1
"1874","Milicias Rodriguistas",4
"1875","Militant Argentine Patriots",1
"1876","Militant Cells",1
"1877","Militant Forces Against Huntingdon",1
"1878","Militant Islamic Group, name not stated",1
"1879","Militant Minority (Greece)",7
"1880","Militant Moslem Pilgrims",1
"1881","Militant Movement for Madagascan Socialism (MMSM)",1
"1882","Militant Organization of Russian Nationalists",1
"1883","Militant Peasants (NFI)",2
"1884","Militant People's Revolutionary Forces",1
"1885","Militants",77
"1886","Militants of the National Action Party",1
"1887","Militant Welsh",1
"1888","Militant Zionist Resistance Movement",1
"1889","Military Council for the True Liberation of Albania",1
"1890","Military Council of the Tribal Revolutionaries (MCTR)",20
"1891","Military Liberation Front of Colombia",1
"1892","Militia Members",12
"1893","MILPAS Contras",1
"1894","Miners",2
"1895","Minority Unity Forum",1
"1896","Minutemen American Defense",1
"1897","Miscreants",5
"1898","Miskito Indian Organization",4
"1899","Misrata Brigades",8
"1900","Misseriya Arab Tribesmen",3
"1901","Misurasata Indian Organization",34
"1902","Mitiga Militia",1
"1903","Mizo National Front",14
"1904","MLA",1
"1905","Mlada Bosna",1
"1906","MNR of the Left",1
"1907","Mob",7
"1908","Modakeke Ethnic Activists",2
"1909","Modakeke Ethnics",4
"1910","Mohajir National Movement",9
"1911","Mombasa Republican Council (MRC)",9
"1912","Mongolian Mukti Morcha",1
"1913","Mong Thai Army (MTA)",2
"1914","Mon Guerrillas",4
"1915","Mon Insurgents",4
"1916","Montoneros (Argentina)",116
"1917","Montoneros Patria Libre",5
"1918","Morazanist Front for the Liberation of Honduras (FMLH)",6
"1919","Mormon Extremist",1
"1920","Moro Ghuraba",2
"1921","Moro Islamic Liberation Front (MILF)",357
"1922","Moro National Liberation Front (MNLF)",196
"1923","Moro National Liberation Front Splinter group",1
"1924","Moslem Activists",51
"1925","Moslem opponents of Gemayel",1
"1926","Moslem Paramilitary Group",1
"1927","Motherland Party",1
"1928","Mouhajiroune Brigade",1
"1929","Mousa Ismail sub-clan",1
"1930","Movement for Cuban Justice (Pragmatistas)",1
"1931","Movement for Democracy and Development (MDD)",1
"1932","Movement for Democracy and Justice in Chad (MDJT)",2
"1933","Movement for Democratic Change (MDC)",3
"1934","Movement for Dignity and Soverignty",1
"1935","Movement for Oneness and Jihad in West Africa (MUJAO)",50
"1936","Movement for Rebuilding Fatah",1
"1937","Movement for Self-Determination",1
"1938","Movement for the Actualization of the Sovereign State of Biafra (MASSOB)",3
"1939","Movement for the Emancipation of the Niger Delta (MEND)",83
"1940","Movement for the Protection of Jerusalem",1
"1941","Movement for the Supremacy of Reason",1
"1942","Movement for Triqui Unification and Struggle",1
"1943","Movement of Democratic Forces of Casamance",79
"1944","Movement of Islamic Action of Iraq",2
"1945","Movement of Niger People for Justice (MNJ)",10
"1946","Movement of the Islamic State (MEI)",1
"1947","Movement of the Revolutionary Left (MIR) (Bolivia)",1
"1948","Movement of the Revolutionary Left (MIR) (Chile)",306
"1949","Movement of the Revolutionary Left (MIR) (Peru)",7
"1950","Movement of the Revolutionary Left (MIR) (Venezuela)",2
"1951","Movement of the Third Reich",1
"1952","Mozambican Rebels",2
"1953","Mozambique Liberation Front (FRELIMO)",2
"1954","Mozambique National Resistance Movement (MNR)",243
"1955","Mozambique Rightest Rebels",1
"1956","Muhammed Shuqayr Group",1
"1957","Mujahedeen Army",3
"1958","Mujahedeen Brigades",1
"1959","Mujahedeen Corps in Iraq",2
"1960","Mujahedeen Group",1
"1961","Mujahedeen Shura Council",8
"1962","Mujahedeen Shura Council in the Environs of Jerusalem",5
"1963","Mujahedin-e Khalq (MEK)",112
"1964","Mujahedin Kompak",1
"1965","Mujahideen Ansar",18
"1966","Mujahideen Islam Pattani",4
"1967","Mujahideen Kashmir",6
"1968","Mujahideen Youth Movement (MYM)",23
"1969","Mujahidin Ambon",1
"1970","Mujahidin Indonesia Timur (MIT)",17
"1971","Mukhtar Army",4
"1972","Mullah Dadullah Front",1
"1973","Munadil al-Jumalyi Brigade",1
"1974","Mungiki Sect",4
"1975","Murle Tribe",6
"1976","Musa Sudi Yalahow Militia",1
"1977","Muslim Brotherhood",122
"1978","Muslim Commando (Iraqi revolutionary brothers)",1
"1979","Muslim Demonstrators",5
"1980","Muslim Extremists",30
"1981","Muslim Fundamentalists",455
"1982","Muslim Guerrillas",13
"1983","Muslim Janbaz Force",3
"1984","Muslim Liberation Front",1
"1985","Muslim Militants",294
"1986","Muslim Rebels",48
"1987","Muslim Renewal",1
"1988","Muslims",47
"1989","Muslims Against Global Oppression (MAGO)",1
"1990","Muslim Separatists",163
"1991","Muslim United Army (MUA)",1
"1992","Muslim United Liberation Tigers of Assam (MULTA)",1
"1993","Muslim Youth",3
"1994","Mustafa Aktas Fighting Unit",1
"1995","Mustafa al-Hujairi Group",3
"1996","Mutahida Majlis-e-Amal",2
"1997","Muttahida Qami Movement (MQM)",170
"1998","Mwakenya Dissident Movement",2
"1999","Naga National Council (NNC)",2
"2000","Naga People",17
"2001","Naga People’s Council (NPC)",1
"2002","Naga Students Federation",2
"2003","Nahzat e Eslami",1
"2004","Najd Province of the Islamic State",5
"2005","Najib Watan Party Faction",1
"2006","Namchong-Nyon Students",1
"2007","Nandi Tribe",4
"2008","Nara Red Army",1
"2009","Narco-Terrorists",368
"2010","National Accord Movement",1
"2011","National Alliance (Chad)",3
"2012","National Anti Communist Commando",3
"2013","National Anti-Corruption Front (FNA)",1
"2014","National Army for the Liberation of Uganda (NALU)",2
"2015","National Awami Party",1
"2016","National Bolshevik Party (Partiya Natsionalnikh Bolshevikov – PNB)",1
"2017","National Committee Against Independence (CNCI)",2
"2018","National Committee for the Restoration of Democracy and State (CNRDR)",1
"2019","National Committee to Combat Fascism",2
"2020","National Congress for the Defense of the People (CNDP)",5
"2021","National Council for Defense of Democracy (NCDD)",15
"2022","National Council of Maubere Resistance",1
"2023","National Defense Youth Corps",1
"2024","National Democratic Alliance Army (NDAA-ESSA)",9
"2025","National Democratic Alliance (NDA)",1
"2026","National Democratic Alliance of Sudan",1
"2027","National Democratic Front-Bicol (NDF-Bicol)",3
"2028","National Democratic Front of Bodoland (NDFB)",167
"2029","National Democratic Front of Liberia",1
"2030","National Democratic Party",2
"2031","National Development Party (NDP)",1
"2032","National Freedom Party",1
"2033","National Front Against Tigers (NFAT)",3
"2034","National Front for the Liberation of Belgium",1
"2035","National Front for the Liberation of Cuba (FLNC)",22
"2036","National Front for the Revolution in Burundi (FRONABU-Tabara)",2
"2037","National Front for the Salvation of Libya",4
"2038","National Front (Greece)",1
"2039","National Front Security Service",1
"2040","National Independent Committee for Political Prisoners and Persecuted and Missing Persons",2
"2041","National Integration Front (FIN)",4
"2042","Nationalist Integrationist Front (FNI)",1
"2043","Nationalist Intervention Group",3
"2044","Nationalist Patriotic Alliance (APN)",4
"2045","nationalist students",1
"2046","National League for Democracy",2
"2047","National Liberation Alliance of Sa Kaeo",1
"2048","National Liberation Army (Ecuador)",3
"2049","National Liberation Army (El Salvador)",1
"2050","National Liberation Army (Nepal)",1
"2051","National Liberation Army (NLA) (Macedonia)",35
"2052","National Liberation Army of Colombia (ELN)",1418
"2053","National Liberation Army (Peru)",2
"2054","National Liberation Council of Taniland",1
"2055","National Liberation Force of Bengalis (Bangali Janamukti Bahini)",4
"2056","National Liberation Front (Ecuador)",1
"2057","National Liberation Front (FNL) (Burundi)",31
"2058","National Liberation Front of Chad",1
"2059","National Liberation Front of Provence (FLNP)",3
"2060","National Liberation Front of Tripura (NLFT)",77
"2061","National Liberation Movement Party",1
"2062","National Liberation People's Front (FPLN)",1
"2063","National Liberation Union",2
"2064","National Movement Against the Mahgreb Invasion",1
"2065","National Movement of Iranian Resistance",1
"2066","National Organization of Cypriot Fighters (EOKA)",6
"2067","National Patriotic Front of Liberia (NPFL)",16
"2068","National People's Movement Coordination Committee",3
"2069","National People’s Party (Rashtriya Janata Dal - RJD)",1
"2070","National Redemption Front",1
"2071","National Renewal Party",1
"2072","National Republican Alliance Party",1
"2073","National Republican Movement for Democracy and Development (MRND)",1
"2074","National Resistance Movement (NRM)",4
"2075","National Revolution",3
"2076","National Revolutionary Command (Umar al-Mukhtar)",3
"2077","National Revolutionary Front",1
"2078","National Salvation Forces Organization",1
"2079","National Santhali Liberation Army (NSLA)",1
"2080","National Socialist Civic Workers Movement",2
"2081","National Socialist Council of Nagaland",17
"2082","National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)",64
"2083","National Socialist Council of Nagaland-Khaplang (NSCN-K)",43
"2084","National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK)",3
"2085","National Socialist Liberation Front",1
"2086","National Socialist Underground",14
"2087","National Union for the Total Independence of Angola (UNITA)",431
"2088","National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)",2
"2089","National United Front of Democracy Against Dictatorship (UDD)",1
"2090","National Youth Resistance Organization",1
"2091","National Youth Service of Zimbabwe",1
"2092","Naxalites",67
"2093","Nazi Boerestat Party",1
"2094","Nduma Defense of Congo (NDC)",3
"2095","Neo-Fascists",11
"2096","Neo-Nazi Group",233
"2097","Nepal Defense Army",6
"2098","Nepali Congress Party (NC)",1
"2099","Nestor Paz Zamora Commission (CNPZ)",3
"2100","New Armenian Resistance",12
"2101","New caledonian independence supporters",1
"2102","New Indigenous Army",1
"2103","New Jewish Defense League",4
"2104","New Order",2
"2105","New Order- France",4
"2106","New Partisans Movement",2
"2107","New Patriotic Party (NPP)",2
"2108","New People's Army (NPA)",2241
"2109","New Revolutionary Alternative (NRA)",1
"2110","New Revolutionary Popular Struggle (NELA)",1
"2111","New Ugandan Army",1
"2112","New World Liberation Front (NWLF)",86
"2113","New Year's Gang",4
"2114","Nicaraguan Counter Revolutionaries (group unk)",2
"2115","Nicaraguan Democratic Anti-Communist Movement",1
"2116","Nicaraguan Democratic Force (FDN)",895
"2117","Nicaraguan Resistance",231
"2118","Nicaraguan  Revolutionary Armed Force",2
"2119","Nicaraguans protesting their government",1
"2120","Niger Delta Freedom Fighters (NDDF)",1
"2121","Niger Delta Liberation Force (NDLF)-Nigeria",3
"2122","Niger Delta People's Volunteer Force (NDPVF)",3
"2123","Niger Delta Vigilante (NDV)",3
"2124","Nihilistic Patrol and Neighborhood Arsonists",1
"2125","Nihilists Faction",2
"2126","Ningo Tribe",1
"2127","Ninjas",9
"2128","Ninth of June Organization",8
"2129","Nobles of Jordan",1
"2130","Nomadic AFARS",1
"2131","Nordisk Rikspartiet (Nordic National Party)",1
"2132","Northern Diriangen Front (FND)",3
"2133","Northern Epirus Liberation Front (MAVI)",1
"2134","Northern Terror Front",3
"2135","North Korean involvement commandos",1
"2136","November 10 (Bolivia)",1
"2137","November 17 Revolutionary Organization (N17RO)",112
"2138","November 21 Organization",5
"2139","Nuclear Liberation Front",1
"2140","Nuclei Communist Combattants",1
"2141","Nucleus of Fighting Communists",1
"2142","Nucleus of the Armed Struggle",1
"2143","NVF",4
"2144","Nyatura Militia",3
"2145","OAS-MRP",6
"2146","October 11 Group",1
"2147","October-80",3
"2148","October Third Movement",1
"2149","Odessa Underground",2
"2150","Odua Peoples' Congress (OPC)",3
"2151","Official Irish Republican Army (OIRA)",40
"2152","Ogaden National Liberation Front (ONLF)",5
"2153","Oglaigh na hEireann",36
"2154","Ohabi Islamic Sect",1
"2155","Okba Ibn Nafaa Brigade",9
"2156","Okinawa Liberation League",1
"2157","Omar Bin Khattab Group",1
"2158","Omar Torrijos Commando for Latin American Dignity",1
"2159","Ombatse Cult",1
"2160","Omega-7",55
"2161","Opossition 48 hour general strikers",1
"2162","Opponents of Regime",1
"2163","Opposition Group",99
"2164","Opposition Jatiya Samajtantrik Del Party",1
"2165","Opposition Militants",6
"2166","Opposition movement of Colon Province Unemployed",1
"2167","OPR-33",1
"2168","Orakzai Freedom Movement",1
"2169","Orange Volunteers (OV)",11
"2170","Orde Boerevoik",1
"2171","Organizacion Democratica Nacionalista (ORDEN)",2
"2172","Organization 544",1
"2173","Organization Alliance of Cuban Intransigence",1
"2174","Organization for Purging the Majlis (Parliament)",1
"2175","Organization for Revolutionary Self Defense",1
"2176","Organization for the Defense of Detainees Rights",1
"2177","Organization for the Liberation of France from Jewish Occupation",1
"2178","Organization for the oppresed in Egypt's Prisons",1
"2179","Organization for Zionist Retribution",1
"2180","Organization of Anti-Fascist Students",1
"2181","Organization of Arab Fedayeen Cells",1
"2182","Organization of Avenging Palestinian Youth",1
"2183","Organization of Mauritanian Nationalists",1
"2184","Organization of Metropolitan Proletariat and Oppressed Peoples",1
"2185","Organization of Mujahadin of Islam",1
